Zip Code,GEO_ID,NAME,B16005I_001E,B16005I_001M,B16005I_002E,B16005I_002M,B16005I_003E,B16005I_003M,B16005I_004E,B16005I_004M,B16005I_005E,B16005I_005M,B16005I_006E,B16005I_006M,B16005I_007E,B16005I_007M,B16005I_008E,B16005I_008M,B16005I_009E,B16005I_009M,B16005I_010E,B16005I_010M,B16005I_011E,B16005I_011M
Chicago,id,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Native,Margin of Error!!Total!!Native,Estimate!!Total!!Native!!Speak only English,Margin of Error!!Total!!Native!!Speak only English,Estimate!!Total!!Native!!Speak another language,Margin of Error!!Total!!Native!!Speak another language,"Estimate!!Total!!Native!!Speak another language!!Speak English very well""""","Margin of Error!!Total!!Native!!Speak another language!!Speak English very well""""","Estimate!!Total!!Native!!Speak another language!!Speak English less than very well""""","Margin of Error!!Total!!Native!!Speak another language!!Speak English less than very well""""",Estimate!!Total!!Foreign born,Margin of Error!!Total!!Foreign born,Estimate!!Total!!Foreign born!!Speak only English,Margin of Error!!Total!!Foreign born!!Speak only English,Estimate!!Total!!Foreign born!!Speak another language,Margin of Error!!Total!!Foreign born!!Speak another language,"Estimate!!Total!!Foreign born!!Speak another language!!Speak English very well""""","Margin of Error!!Total!!Foreign born!!Speak another language!!Speak English very well""""","Estimate!!Total!!Foreign born!!Speak another language!!Speak English less than very well""""","Margin of Error!!Total!!Foreign born!!Speak another language!!Speak English less than very well"""""
60652,8600000US60652,60652,16090.0,891,9938.0,693.0,2944.0,514.0,6994.0,643.0,6223.0,594.0,771.0,203.0,6152.0,656.0,288.0,114.0,5864.0,648.0,2181.0,402.0,3683.0,428.0
60653,8600000US60653,60653,644.0,184,539.0,166.0,225.0,98.0,314.0,129.0,286.0,124.0,28.0,22.0,105.0,67.0,4.0,9.0,101.0,66.0,43.0,35.0,58.0,47.0
60654,8600000US60654,60654,982.0,289,685.0,253.0,543.0,246.0,142.0,85.0,142.0,85.0,0.0,17.0,297.0,160.0,37.0,40.0,260.0,159.0,170.0,121.0,90.0,87.0
60655,8600000US60655,60655,2068.0,241,1870.0,246.0,1407.0,256.0,463.0,168.0,427.0,160.0,36.0,34.0,198.0,77.0,49.0,34.0,149.0,79.0,76.0,40.0,73.0,54.0
60656,8600000US60656,60656,2968.0,440,2325.0,396.0,823.0,185.0,1502.0,370.0,1149.0,369.0,353.0,103.0,643.0,219.0,67.0,70.0,576.0,200.0,281.0,128.0,295.0,127.0
60657,8600000US60657,60657,4656.0,640,3111.0,443.0,2018.0,374.0,1093.0,262.0,887.0,217.0,206.0,138.0,1545.0,440.0,168.0,127.0,1377.0,426.0,1042.0,384.0,335.0,164.0
60659,8600000US60659,60659,7177.0,1264,3997.0,677.0,1640.0,398.0,2357.0,547.0,2051.0,500.0,306.0,177.0,3180.0,796.0,145.0,110.0,3035.0,766.0,853.0,241.0,2182.0,666.0
60660,8600000US60660,60660,7402.0,783,3651.0,593.0,1037.0,238.0,2614.0,569.0,2119.0,488.0,495.0,202.0,3751.0,422.0,68.0,48.0,3683.0,422.0,1392.0,250.0,2291.0,360.0
60661,8600000US60661,60661,640.0,289,277.0,111.0,223.0,90.0,54.0,50.0,38.0,44.0,16.0,25.0,363.0,249.0,142.0,110.0,221.0,171.0,178.0,129.0,43.0,67.0
60666,,,,,,,,,,,,,,,,,,,,,,,,
60707,8600000US60707,60707,15296.0,1134,11206.0,1046.0,3422.0,589.0,7784.0,929.0,6693.0,874.0,1091.0,470.0,4090.0,477.0,131.0,95.0,3959.0,473.0,1690.0,352.0,2269.0,396.0
60827,8600000US60827,60827,1081.0,384,779.0,268.0,382.0,169.0,397.0,185.0,331.0,173.0,66.0,86.0,302.0,200.0,50.0,86.0,252.0,138.0,56.0,61.0,196.0,132.0
