"GEO_ID","NAME","B25014I_001E","B25014I_001M","B25014I_002E","B25014I_002M","B25014I_003E","B25014I_003M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!1.00 or less occupants per room","Margin of Error!!Total!!1.00 or less occupants per room","Estimate!!Total!!1.01 or more occupants per room","Margin of Error!!Total!!1.01 or more occupants per room"
"8600000US01093","ZCTA5 01093","0","12","0","12","0","12"
"8600000US01094","ZCTA5 01094","0","12","0","12","0","12"
"8600000US01095","ZCTA5 01095","240","106","240","106","0","19"
"8600000US01096","ZCTA5 01096","4","6","4","6","0","12"
"8600000US01097","ZCTA5 01097","0","12","0","12","0","12"
"8600000US01098","ZCTA5 01098","0","12","0","12","0","12"
"8600000US01103","ZCTA5 01103","820","116","760","115","60","60"
"8600000US01104","ZCTA5 01104","4741","361","4404","389","337","151"
"8600000US01105","ZCTA5 01105","3125","246","2847","265","278","119"
"8600000US01106","ZCTA5 01106","209","122","209","122","0","19"
"8600000US01107","ZCTA5 01107","2811","215","2567","248","244","87"
"8600000US01108","ZCTA5 01108","3811","404","3739","405","72","61"
"8600000US01109","ZCTA5 01109","3700","286","3608","297","92","62"
"8600000US01118","ZCTA5 01118","746","169","687","165","59","52"
"8600000US01119","ZCTA5 01119","1088","224","1058","231","30","34"
"8600000US01128","ZCTA5 01128","79","54","79","54","0","12"
"8600000US01129","ZCTA5 01129","487","115","487","115","0","17"
"8600000US01151","ZCTA5 01151","945","160","874","153","71","60"
"8600000US01199","ZCTA5 01199","0","12","0","12","0","12"
"8600000US01201","ZCTA5 01201","729","139","695","137","34","48"
"8600000US01220","ZCTA5 01220","29","27","29","27","0","17"
"8600000US01222","ZCTA5 01222","8","14","8","14","0","12"
"8600000US01223","ZCTA5 01223","39","30","39","30","0","12"
"8600000US01224","ZCTA5 01224","0","12","0","12","0","12"
"8600000US01225","ZCTA5 01225","63","76","63","76","0","12"
"8600000US01226","ZCTA5 01226","49","63","49","63","0","17"
"8600000US01229","ZCTA5 01229","10","14","10","14","0","12"
"8600000US01230","ZCTA5 01230","186","74","157","68","29","41"
"8600000US01235","ZCTA5 01235","0","12","0","12","0","12"
"8600000US01236","ZCTA5 01236","50","75","50","75","0","12"
"8600000US01237","ZCTA5 01237","0","12","0","12","0","12"
"8600000US01238","ZCTA5 01238","19","31","19","31","0","17"
"8600000US01240","ZCTA5 01240","95","72","95","72","0","12"
"8600000US01242","ZCTA5 01242","0","12","0","12","0","12"
"8600000US01243","ZCTA5 01243","0","12","0","12","0","12"
"8600000US01244","ZCTA5 01244","0","12","0","12","0","12"
"8600000US01245","ZCTA5 01245","0","12","0","12","0","12"
"8600000US01247","ZCTA5 01247","187","121","187","121","0","19"
"8600000US01253","ZCTA5 01253","22","25","22","25","0","12"
"8600000US01254","ZCTA5 01254","0","12","0","12","0","12"
"8600000US01255","ZCTA5 01255","0","12","0","12","0","12"
"8600000US01256","ZCTA5 01256","4","5","4","5","0","12"
"8600000US01257","ZCTA5 01257","0","12","0","12","0","12"
"8600000US01258","ZCTA5 01258","23","28","23","28","0","12"
"8600000US01259","ZCTA5 01259","0","12","0","12","0","12"
