Zip Code,GEO_ID,NAME,C24010I_001E,C24010I_001M,C24010I_002E,C24010I_002M,C24010I_003E,C24010I_003M,C24010I_004E,C24010I_004M,C24010I_005E,C24010I_005M,C24010I_006E,C24010I_006M,C24010I_007E,C24010I_007M,C24010I_008E,C24010I_008M,C24010I_009E,C24010I_009M,C24010I_010E,C24010I_010M,C24010I_011E,C24010I_011M,C24010I_012E,C24010I_012M,C24010I_013E,C24010I_013M
Chicago,id,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Male,Margin of Error!!Total!!Male,"Estimate!!Total!!Male!!Management, business, science, and arts occupations","Margin of Error!!Total!!Male!!Management, business, science, and arts occupations",Estimate!!Total!!Male!!Service occupations,Margin of Error!!Total!!Male!!Service occupations,Estimate!!Total!!Male!!Sales and office occupations,Margin of Error!!Total!!Male!!Sales and office occupations,"Estimate!!Total!!Male!!Natural resources, construction, and maintenance occupations","Margin of Error!!Total!!Male!!Natural resources, construction, and maintenance occupations","Estimate!!Total!!Male!!Production, transportation, and material moving occupations","Margin of Error!!Total!!Male!!Production, transportation, and material moving occupations",Estimate!!Total!!Female,Margin of Error!!Total!!Female,"Estimate!!Total!!Female!!Management, business, science, and arts occupations","Margin of Error!!Total!!Female!!Management, business, science, and arts occupations",Estimate!!Total!!Female!!Service occupations,Margin of Error!!Total!!Female!!Service occupations,Estimate!!Total!!Female!!Sales and office occupations,Margin of Error!!Total!!Female!!Sales and office occupations,"Estimate!!Total!!Female!!Natural resources, construction, and maintenance occupations","Margin of Error!!Total!!Female!!Natural resources, construction, and maintenance occupations","Estimate!!Total!!Female!!Production, transportation, and material moving occupations","Margin of Error!!Total!!Female!!Production, transportation, and material moving occupations"
60634,8600000US60634,60634,14484.0,1027.0,7960.0,719.0,1556.0,294.0,1725.0,323.0,1336.0,270.0,1313.0,302.0,2030.0,370.0,6524.0,565.0,1806.0,333.0,1775.0,302.0,2217.0,331.0,42.0,51.0,684.0,181.0
60636,8600000US60636,60636,914.0,220.0,648.0,166.0,55.0,41.0,181.0,83.0,50.0,41.0,156.0,80.0,206.0,82.0,266.0,90.0,54.0,33.0,110.0,57.0,61.0,36.0,11.0,16.0,30.0,28.0
60637,8600000US60637,60637,590.0,146.0,250.0,76.0,166.0,61.0,19.0,19.0,12.0,16.0,20.0,31.0,33.0,39.0,340.0,110.0,193.0,84.0,30.0,29.0,117.0,69.0,0.0,23.0,0.0,23.0
60638,8600000US60638,60638,13867.0,1205.0,7749.0,725.0,1387.0,272.0,1621.0,365.0,1197.0,208.0,1574.0,398.0,1970.0,346.0,6118.0,620.0,1835.0,318.0,1831.0,370.0,2114.0,339.0,35.0,40.0,303.0,105.0
60639,8600000US60639,60639,33075.0,1389.0,19001.0,914.0,1632.0,261.0,4445.0,551.0,2648.0,383.0,3481.0,403.0,6795.0,548.0,14074.0,858.0,2422.0,302.0,4039.0,512.0,4303.0,422.0,22.0,24.0,3288.0,422.0
60640,8600000US60640,60640,5484.0,689.0,3474.0,542.0,805.0,185.0,1310.0,335.0,302.0,133.0,199.0,104.0,858.0,342.0,2010.0,351.0,646.0,168.0,548.0,202.0,573.0,173.0,7.0,12.0,236.0,161.0
60641,8600000US60641,60641,18726.0,871.0,10421.0,610.0,1767.0,251.0,2667.0,329.0,1347.0,260.0,1615.0,368.0,3025.0,387.0,8305.0,564.0,2144.0,268.0,2435.0,321.0,2556.0,339.0,26.0,25.0,1144.0,233.0
60642,8600000US60642,60642,2131.0,434.0,1083.0,253.0,491.0,175.0,288.0,141.0,88.0,51.0,50.0,52.0,166.0,106.0,1048.0,270.0,389.0,167.0,284.0,136.0,302.0,125.0,0.0,20.0,73.0,49.0
60643,8600000US60643,60643,653.0,223.0,319.0,125.0,128.0,64.0,91.0,60.0,20.0,28.0,72.0,59.0,8.0,13.0,334.0,133.0,185.0,94.0,68.0,60.0,70.0,60.0,0.0,23.0,11.0,15.0
60644,8600000US60644,60644,1303.0,293.0,619.0,179.0,122.0,78.0,140.0,79.0,64.0,57.0,52.0,48.0,241.0,115.0,684.0,188.0,96.0,65.0,287.0,135.0,117.0,68.0,0.0,23.0,184.0,98.0
60645,8600000US60645,60645,3411.0,542.0,1996.0,404.0,203.0,94.0,715.0,247.0,245.0,124.0,499.0,257.0,334.0,131.0,1415.0,330.0,290.0,112.0,613.0,228.0,423.0,179.0,0.0,23.0,89.0,77.0
60646,8600000US60646,60646,1920.0,490.0,1046.0,321.0,326.0,167.0,155.0,78.0,127.0,74.0,270.0,114.0,168.0,150.0,874.0,225.0,473.0,173.0,83.0,67.0,232.0,104.0,0.0,20.0,86.0,124.0
60647,8600000US60647,60647,18282.0,882.0,9745.0,621.0,1876.0,268.0,2515.0,313.0,1504.0,218.0,1121.0,217.0,2729.0,328.0,8537.0,571.0,2492.0,284.0,2119.0,308.0,2818.0,325.0,45.0,60.0,1063.0,212.0
60649,8600000US60649,60649,579.0,254.0,291.0,215.0,23.0,26.0,55.0,51.0,56.0,45.0,16.0,27.0,141.0,197.0,288.0,133.0,78.0,60.0,49.0,36.0,147.0,124.0,0.0,23.0,14.0,24.0
