"GEO_ID","NAME","B03003_001E","B03003_001M","B03003_002E","B03003_002M","B03003_003E","B03003_003M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino"
"8600000US29055","ZCTA5 29055","4037","540","4020","535","17","29"
"8600000US29072","ZCTA5 29072","60081","1209","57265","1296","2816","709"
"8600000US29074","ZCTA5 29074","112","90","112","90","0","12"
"8600000US29114","ZCTA5 29114","1763","336","1753","336","10","14"
"8600000US29123","ZCTA5 29123","8525","700","7835","732","690","400"
"8600000US29178","ZCTA5 29178","3211","448","3200","450","11","15"
"8600000US29223","ZCTA5 29223","50870","1776","46879","1784","3991","741"
"8600000US29306","ZCTA5 29306","16085","860","15587","888","498","229"
"8600000US29322","ZCTA5 29322","8281","800","8069","774","212","139"
"8600000US29376","ZCTA5 29376","7842","800","7450","761","392","272"
"8600000US29403","ZCTA5 29403","21888","1049","21425","1008","463","172"
"8600000US29406","ZCTA5 29406","33984","1318","27520","1261","6464","821"
"8600000US29414","ZCTA5 29414","39520","1283","37975","1266","1545","487"
"8600000US29471","ZCTA5 29471","1455","378","1408","357","47","63"
"8600000US29527","ZCTA5 29527","25916","1044","24640","1004","1276","456"
"8600000US29530","ZCTA5 29530","2325","382","2222","363","103","127"
"8600000US29850","ZCTA5 29850","200","187","200","187","0","12"
"8600000US29856","ZCTA5 29856","2688","507","2569","492","119","164"
"8600000US29906","ZCTA5 29906","25149","1356","22724","1287","2425","682"
"8600000US29916","ZCTA5 29916","1537","465","1537","465","0","12"
"8600000US29928","ZCTA5 29928","16366","640","15592","633","774","373"
"8600000US29929","ZCTA5 29929","1002","161","1002","161","0","12"
"8600000US29160","ZCTA5 29160","7833","720","7615","706","218","182"
"8600000US29070","ZCTA5 29070","15914","1036","15003","1088","911","376"
"8600000US29113","ZCTA5 29113","1211","327","1211","327","0","12"
"8600000US29133","ZCTA5 29133","919","338","919","338","0","12"
