"GEO_ID","NAME","B10051I_001E","B10051I_001M","B10051I_002E","B10051I_002M","B10051I_003E","B10051I_003M","B10051I_004E","B10051I_004M","B10051I_005E","B10051I_005M","B10051I_006E","B10051I_006M","B10051I_007E","B10051I_007M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Grandparent responsible for own grandchildren under 18 years","Margin of Error!!Total!!Grandparent responsible for own grandchildren under 18 years","Estimate!!Total!!Grandparent responsible for own grandchildren under 18 years!!30 to 59 years","Margin of Error!!Total!!Grandparent responsible for own grandchildren under 18 years!!30 to 59 years","Estimate!!Total!!Grandparent responsible for own grandchildren under 18 years!!60 years and over","Margin of Error!!Total!!Grandparent responsible for own grandchildren under 18 years!!60 years and over","Estimate!!Total!!Grandparent not responsible for own grandchildren under 18 years","Margin of Error!!Total!!Grandparent not responsible for own grandchildren under 18 years","Estimate!!Total!!Grandparent not responsible for own grandchildren under 18 years!!30 to 59 years","Margin of Error!!Total!!Grandparent not responsible for own grandchildren under 18 years!!30 to 59 years","Estimate!!Total!!Grandparent not responsible for own grandchildren under 18 years!!60 years and over","Margin of Error!!Total!!Grandparent not responsible for own grandchildren under 18 years!!60 years and over"
"8600000US00960","ZCTA5 00960","0","14","0","14","0","14","0","14","0","14","0","14","0","14"
"8600000US00961","ZCTA5 00961","809","198","406","134","195","110","211","80","403","140","118","80","285","126"
"8600000US00962","ZCTA5 00962","715","196","359","131","239","103","120","70","356","135","178","85","178","103"
"8600000US00965","ZCTA5 00965","256","126","211","116","165","110","46","37","45","40","23","27","22","28"
"8600000US00966","ZCTA5 00966","355","167","107","78","96","78","11","17","248","149","34","38","214","147"
"8600000US00968","ZCTA5 00968","40","45","40","45","19","29","21","33","0","14","0","14","0","14"
"8600000US00969","ZCTA5 00969","642","235","381","196","67","54","314","193","261","125","0","29","261","125"
"8600000US00971","ZCTA5 00971","903","279","366","163","169","95","197","148","537","238","193","144","344","175"
"8600000US00976","ZCTA5 00976","1722","378","581","183","203","104","378","150","1141","317","407","184","734","221"
"8600000US00979","ZCTA5 00979","388","160","89","55","18","29","71","47","299","139","120","118","179","83"
"8600000US00982","ZCTA5 00982","359","128","131","84","67","67","64","50","228","107","30","30","198","95"
"8600000US00983","ZCTA5 00983","812","233","344","131","157","101","187","83","468","177","207","112","261","140"
"8600000US00985","ZCTA5 00985","965","230","350","148","149","86","201","106","615","190","117","78","498","165"
"8600000US00987","ZCTA5 00987","1699","387","440","166","251","122","189","107","1259","318","480","180","779","257"
"8600000US01001","ZCTA5 01001","9","15","9","15","9","15","0","19","0","19","0","19","0","19"
"8600000US01002","ZCTA5 01002","17","26","7","11","0","26","7","11","10","16","0","26","10","16"
"8600000US01003","ZCTA5 01003","0","19","0","19","0","19","0","19","0","19","0","19","0","19"
"8600000US01005","ZCTA5 01005","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US01007","ZCTA5 01007","0","19","0","19","0","19","0","19","0","19","0","19","0","19"
"8600000US01008","ZCTA5 01008","3","4","0","12","0","12","0","12","3","4","0","12","3","4"
"8600000US01009","ZCTA5 01009","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US01010","ZCTA5 01010","13","19","13","19","13","19","0","12","0","12","0","12","0","12"
"8600000US01011","ZCTA5 01011","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US01012","ZCTA5 01012","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US01013","ZCTA5 01013","66","65","24","39","24","39","0","23","42","50","33","47","9","20"
"8600000US01020","ZCTA5 01020","43","67","43","67","0","26","43","67","0","26","0","26","0","26"
"8600000US01022","ZCTA5 01022","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US01026","ZCTA5 01026","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US01027","ZCTA5 01027","0","19","0","19","0","19","0","19","0","19","0","19","0","19"
"8600000US01028","ZCTA5 01028","55","86","0","19","0","19","0","19","55","86","55","86","0","19"
"8600000US01029","ZCTA5 01029","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US01030","ZCTA5 01030","0","19","0","19","0","19","0","19","0","19","0","19","0","19"
"8600000US01031","ZCTA5 01031","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US01032","ZCTA5 01032","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US01033","ZCTA5 01033","0","17","0","17","0","17","0","17","0","17","0","17","0","17"
"8600000US01034","ZCTA5 01034","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US01035","ZCTA5 01035","0","17","0","17","0","17","0","17","0","17","0","17","0","17"
"8600000US01036","ZCTA5 01036","0","17","0","17","0","17","0","17","0","17","0","17","0","17"
"8600000US01037","ZCTA5 01037","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US01038","ZCTA5 01038","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US01039","ZCTA5 01039","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US01040","ZCTA5 01040","467","166","264","142","200","126","64","57","203","87","147","75","56","47"
"8600000US01050","ZCTA5 01050","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US01053","ZCTA5 01053","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US01054","ZCTA5 01054","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US01056","ZCTA5 01056","0","23","0","23","0","23","0","23","0","23","0","23","0","23"
"8600000US01057","ZCTA5 01057","0","17","0","17","0","17","0","17","0","17","0","17","0","17"
"8600000US01060","ZCTA5 01060","0","19","0","19","0","19","0","19","0","19","0","19","0","19"
"8600000US01062","ZCTA5 01062","78","62","14","20","0","19","14","20","64","65","34","36","30","31"
"8600000US01063","ZCTA5 01063","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US01066","ZCTA5 01066","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US01068","ZCTA5 01068","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US01069","ZCTA5 01069","0","17","0","17","0","17","0","17","0","17","0","17","0","17"
"8600000US01070","ZCTA5 01070","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US01071","ZCTA5 01071","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US01072","ZCTA5 01072","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US01073","ZCTA5 01073","0","17","0","17","0","17","0","17","0","17","0","17","0","17"
"8600000US01074","ZCTA5 01074","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US01075","ZCTA5 01075","7","12","0","19","0","19","0","19","7","12","0","19","7","12"
"8600000US01077","ZCTA5 01077","0","17","0","17","0","17","0","17","0","17","0","17","0","17"
"8600000US01079","ZCTA5 01079","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US01080","ZCTA5 01080","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US01081","ZCTA5 01081","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US01082","ZCTA5 01082","0","19","0","19","0","19","0","19","0","19","0","19","0","19"
"8600000US01083","ZCTA5 01083","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US01084","ZCTA5 01084","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US01085","ZCTA5 01085","181","97","0","26","0","26","0","26","181","97","63","53","118","87"
"8600000US01086","ZCTA5 01086","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US01088","ZCTA5 01088","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US01089","ZCTA5 01089","67","105","35","55","35","55","0","23","32","50","32","50","0","23"
"8600000US01092","ZCTA5 01092","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US01093","ZCTA5 01093","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US01094","ZCTA5 01094","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US01095","ZCTA5 01095","0","19","0","19","0","19","0","19","0","19","0","19","0","19"
"8600000US01096","ZCTA5 01096","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US01097","ZCTA5 01097","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US01098","ZCTA5 01098","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US01103","ZCTA5 01103","70","68","0","12","0","12","0","12","70","68","70","68","0","12"
"8600000US01104","ZCTA5 01104","642","263","132","130","65","66","67","78","510","244","317","195","193","124"
"8600000US01105","ZCTA5 01105","147","92","115","82","99","77","16","24","32","41","19","36","13","20"
"8600000US01106","ZCTA5 01106","23","35","0","19","0","19","0","19","23","35","0","19","23","35"
"8600000US01107","ZCTA5 01107","220","100","95","72","66","66","29","30","125","65","102","60","23","23"
"8600000US01108","ZCTA5 01108","382","200","176","162","117","99","59","75","206","125","128","92","78","64"
"8600000US01109","ZCTA5 01109","317","134","155","106","132","102","23","24","162","87","107","73","55","42"
"8600000US01118","ZCTA5 01118","77","85","10","23","10","23","0","19","67","77","46","75","21","23"
"8600000US01119","ZCTA5 01119","126","99","24","36","24","36","0","19","102","75","26","39","76","62"
"8600000US01128","ZCTA5 01128","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US01129","ZCTA5 01129","5","9","0","17","0","17","0","17","5","9","0","17","5","9"
"8600000US01151","ZCTA5 01151","83","69","59","53","38","41","21","33","24","27","19","24","5","8"
"8600000US01199","ZCTA5 01199","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US01201","ZCTA5 01201","67","74","17","29","0","26","17","29","50","70","50","70","0","26"
"8600000US01220","ZCTA5 01220","0","17","0","17","0","17","0","17","0","17","0","17","0","17"
"8600000US01222","ZCTA5 01222","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US01223","ZCTA5 01223","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US01224","ZCTA5 01224","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US01225","ZCTA5 01225","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US01226","ZCTA5 01226","0","17","0","17","0","17","0","17","0","17","0","17","0","17"
"8600000US01229","ZCTA5 01229","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US01230","ZCTA5 01230","0","17","0","17","0","17","0","17","0","17","0","17","0","17"
"8600000US01235","ZCTA5 01235","1","4","0","12","0","12","0","12","1","4","0","12","1","4"
"8600000US01236","ZCTA5 01236","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US01237","ZCTA5 01237","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US01238","ZCTA5 01238","0","17","0","17","0","17","0","17","0","17","0","17","0","17"
"8600000US01240","ZCTA5 01240","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US01242","ZCTA5 01242","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US01243","ZCTA5 01243","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US01244","ZCTA5 01244","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US01245","ZCTA5 01245","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US01247","ZCTA5 01247","16","26","16","26","16","26","0","19","0","19","0","19","0","19"
"8600000US01253","ZCTA5 01253","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US01254","ZCTA5 01254","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US01255","ZCTA5 01255","4","6","0","12","0","12","0","12","4","6","0","12","4","6"
